Name_Chinese,Id,Number of investment events,URL,Name_English
广发信德,1394008,111,https://data.cyzone.cn/capital/1394008.html,Guang Fa
晨兴资本,1396163,110,https://data.cyzone.cn/capital/1396163.html,Morningside
联想之星,1393342,109,https://data.cyzone.cn/capital/1393342.html,Legend Start
基石资本,1393470,107,https://data.cyzone.cn/capital/1393470.html,Stone
金沙江创投,1393226,105,https://data.cyzone.cn/capital/1393226.html,GSR
东方证券,1397826,105,https://data.cyzone.cn/capital/1397826.html,Dongfang Securities
赛伯乐投资,1393318,104,https://data.cyzone.cn/capital/1393318.html,Cybernaut Investment
和君资本,1394320,104,https://data.cyzone.cn/capital/1394320.html,Hejun
创东方投资,1395970,100,https://data.cyzone.cn/capital/1395970.html,Chuang Dong Fang
宁波天使投资引导基金,1395402,100,https://data.cyzone.cn/capital/1395402.html,Ningbo Angel Investment Guidance Fund
蚂蚁金服,1502982,98,https://data.cyzone.cn/capital/1502982.html,Ant Finance
金石投资,1395917,97,https://data.cyzone.cn/capital/1395917.html,Gold Stone
合力投资,1395652,97,https://data.cyzone.cn/capital/1395652.html,Empower
高瓴资本,1393343,96,https://data.cyzone.cn/capital/1393343.html,Hillhouse
天图投资,1393650,96,https://data.cyzone.cn/capital/1393650.html,Tian Tu
华盖资本,1395187,95,https://data.cyzone.cn/capital/1395187.html,Hua Gai
普华资本,1394150,95,https://data.cyzone.cn/capital/1394150.html,Puhua
鼎晖投资,1393216,95,https://data.cyzone.cn/capital/1393216.html,CDH
启迪之星,1394723,94,https://data.cyzone.cn/capital/1394723.html,Enlightenment Star
涌铧投资,1393525,93,https://data.cyzone.cn/capital/1393525.html,Yong Hua
分享投资,1394665,91,https://data.cyzone.cn/capital/1394665.html,Share
挚信资本,1393420,89,https://data.cyzone.cn/capital/1393420.html,Trust Bridge
苏河汇,1393617,87,https://data.cyzone.cn/capital/1393617.html,Suhehui
信中利资本,1393550,87,https://data.cyzone.cn/capital/1393550.html,Chinaequity
德迅投资,1393332,86,https://data.cyzone.cn/capital/1393332.html,Dexun Investment
峰瑞资本,1394626,86,https://data.cyzone.cn/capital/1394626.html,Frees Fund
浙商创投,1407911,86,https://data.cyzone.cn/capital/1407911.html,Zhe Shang
GGV纪源资本,1393232,85,https://data.cyzone.cn/capital/1393232.html,GGV
朗玛峰创投,1393578,84,https://data.cyzone.cn/capital/1393578.html,Mount Langma Ventures
农银国际,1403770,84,https://data.cyzone.cn/capital/1403770.html,ABC International
力合创投,1402910,83,https://data.cyzone.cn/capital/1402910.html,Lihe Ventures
中国风险投资,1399262,82,https://data.cyzone.cn/capital/1399262.html,C-VC
国开发展基金,3011593,82,https://data.cyzone.cn/capital/3011593.html,China Development Fund
戈壁创投,1393240,81,https://data.cyzone.cn/capital/1393240.html,Gobi
湖北高投,1395741,81,https://data.cyzone.cn/capital/1395741.html,Hubei Gaotou
兴业证券,3230293,80,https://data.cyzone.cn/capital/3230293.html,Industrial Securities
丰厚资本,1394549,80,https://data.cyzone.cn/capital/1394549.html,Feng Hou
阿米巴资本,1408382,80,https://data.cyzone.cn/capital/1408382.html,Ameba
东湖创投,1395555,79,https://data.cyzone.cn/capital/1395555.html,East Lake Ventures
蓝驰创投,1393248,78,https://data.cyzone.cn/capital/1393248.html,Blue Run
