investor_name,investor_id_main,investor_id_other_1,investor_id_other_2,total_occurrences,url_main,investor_name_eng
华住酒店集团,1395327,,,8,https://data.cyzone.cn/capital/1395327.html,
汤臣倍健,1397859,,,8,https://data.cyzone.cn/capital/1397859.html,
华泰大健康基金,1404153,,,8,https://data.cyzone.cn/capital/1404153.html,
江西高投,3014623,,,8,https://data.cyzone.cn/capital/3014623.html,
盖娅互娱,1405822,,,8,https://data.cyzone.cn/capital/1405822.html,
众晖资本,1395035,,,8,https://data.cyzone.cn/capital/1395035.html,
博时基金,1402649,,,8,https://data.cyzone.cn/capital/1402649.html,
薄荷天使基金,1407300,,,8,https://data.cyzone.cn/capital/1407300.html,
江苏交通控股,1400218,,,8,https://data.cyzone.cn/capital/1400218.html,
高达资本,3010980,,,8,https://data.cyzone.cn/capital/3010980.html,
博行资本,1403702,,,8,https://data.cyzone.cn/capital/1403702.html,
建投华科,1398267,,,8,https://data.cyzone.cn/capital/1398267.html,
盛泉资本,3019202,,,8,https://data.cyzone.cn/capital/3019202.html,
摩玛公寓,1149717,,,8,https://data.cyzone.cn/capital/1149717.html,
泰来资本,1403125,,,8,https://data.cyzone.cn/capital/1403125.html,
博雍基金,1400753,,,8,https://data.cyzone.cn/capital/1400753.html,
重庆天使投资引导基金,3009236,,,8,https://data.cyzone.cn/capital/3009236.html,
光合创投,1403622,,,8,https://data.cyzone.cn/capital/1403622.html,
青瓦众创空间,1172917,,,8,https://data.cyzone.cn/capital/1172917.html,
创梦创投,3006885,,,8,https://data.cyzone.cn/capital/3006885.html,
Accel Partners,1396299,,,8,https://data.cyzone.cn/capital/1396299.html,
蓝山投资,1407892,,,8,https://data.cyzone.cn/capital/1407892.html,
青松资本,3017924,,,8,https://data.cyzone.cn/capital/3017924.html,
睿达资产,3018386,,,8,https://data.cyzone.cn/capital/3018386.html,
元投资本,1409476,,,8,https://data.cyzone.cn/capital/1409476.html,
中国联塑,3008277,,,8,https://data.cyzone.cn/capital/3008277.html,
东煕资本,1399436,,,8,https://data.cyzone.cn/capital/1399436.html,
博源资本,3006708,,,8,https://data.cyzone.cn/capital/3006708.html,
科大控股,3015864,,,8,https://data.cyzone.cn/capital/3015864.html,
Hanvon汉王科技,1180401,,,8,https://data.cyzone.cn/capital/1180401.html,
数码视讯,1171098,3019376.0,,8,https://data.cyzone.cn/capital/1171098.html,
中南传媒,1171173,,,8,https://data.cyzone.cn/capital/1171173.html,
溪山天使会,1399095,,,8,https://data.cyzone.cn/capital/1399095.html,
雄韬股份,3105987,,,8,https://data.cyzone.cn/capital/3105987.html,
千山资本,1394990,,,8,https://data.cyzone.cn/capital/1394990.html,
岩桥投资,1397557,,,8,https://data.cyzone.cn/capital/1397557.html,
陆家嘴投资,3016589,,,8,https://data.cyzone.cn/capital/3016589.html,
K2基金,1393546,,,8,https://data.cyzone.cn/capital/1393546.html,
众合资本,3009178,,,8,https://data.cyzone.cn/capital/3009178.html,
海润并购基金,1398052,,,8,https://data.cyzone.cn/capital/1398052.html,
中电海康,1403510,,,8,https://data.cyzone.cn/capital/1403510.html,
众合瑞民,3009175,,,8,https://data.cyzone.cn/capital/3009175.html,
高正创投,1402682,,,8,https://data.cyzone.cn/capital/1402682.html,
汇川技术,3115804,,,8,https://data.cyzone.cn/capital/3115804.html,
KKR,1396071,,,8,https://data.cyzone.cn/capital/1396071.html,
通盈创投,3019901,,,8,https://data.cyzone.cn/capital/3019901.html,
丰图投资,1399556,,,8,https://data.cyzone.cn/capital/1399556.html,
广西金融投资集团,3536315,,,8,https://data.cyzone.cn/capital/3536315.html,
君石控股,3314306,,,8,https://data.cyzone.cn/capital/3314306.html,
大族控股,3536230,,,8,https://data.cyzone.cn/capital/3536230.html,
圣康控股,3019120,,,8,https://data.cyzone.cn/capital/3019120.html,
中科乐创,3244666,1394627.0,,8,https://data.cyzone.cn/capital/3244666.html,
诚成资本,1394657,,,8,https://data.cyzone.cn/capital/1394657.html,
伟星创投,3020310,,,8,https://data.cyzone.cn/capital/3020310.html,
航天科工资产,1406589,,,8,https://data.cyzone.cn/capital/1406589.html,
迈朴资本,3016705,,,8,https://data.cyzone.cn/capital/3016705.html,
引力创投,1395084,,,8,https://data.cyzone.cn/capital/1395084.html,
夏尔巴投资,3020667,,,8,https://data.cyzone.cn/capital/3020667.html,
真实资本,1399482,,,8,https://data.cyzone.cn/capital/1399482.html,
科鑫资本,1403462,,,8,https://data.cyzone.cn/capital/1403462.html,
千方科技,1198016,,,8,https://data.cyzone.cn/capital/1198016.html,
深圳人才基金,3019056,,,8,https://data.cyzone.cn/capital/3019056.html,
瑞业投资,1397855,,,8,https://data.cyzone.cn/capital/1397855.html,
领医创造,1399381,,,8,https://data.cyzone.cn/capital/1399381.html,
浦东创投,1498642,,,8,https://data.cyzone.cn/capital/1498642.html,
安徽高新投新材料产业基金,1409684,,,8,https://data.cyzone.cn/capital/1409684.html,
西南证劵,3020605,,,8,https://data.cyzone.cn/capital/3020605.html,
大众点评网,3007121,,,8,https://data.cyzone.cn/capital/3007121.html,
领沨资本,1395056,,,8,https://data.cyzone.cn/capital/1395056.html,
大正投资集团,3007112,,,7,https://data.cyzone.cn/capital/3007112.html,
艾格拉斯,1146223,,,7,https://data.cyzone.cn/capital/1146223.html,
大族激光,3234836,,,7,https://data.cyzone.cn/capital/3234836.html,
澜峰资本,1400599,,,7,https://data.cyzone.cn/capital/1400599.html,
亿文创投,3023713,,,7,https://data.cyzone.cn/capital/3023713.html,
显德创投,1403195,,,7,https://data.cyzone.cn/capital/1403195.html,
易德信投资,1403473,,,7,https://data.cyzone.cn/capital/1403473.html,
是成资本,1393701,,,7,https://data.cyzone.cn/capital/1393701.html,
崇德弘信,1402748,,,7,https://data.cyzone.cn/capital/1402748.html,
重庆百货,1403871,,,7,https://data.cyzone.cn/capital/1403871.html,
繸子财富,1399472,,,7,https://data.cyzone.cn/capital/1399472.html,
易简资本,1401218,,,7,https://data.cyzone.cn/capital/1401218.html,
亿利洁能,3293175,,,7,https://data.cyzone.cn/capital/3293175.html,
晋商联盟,3015054,,,7,https://data.cyzone.cn/capital/3015054.html,
重庆文创基金,1403035,,,7,https://data.cyzone.cn/capital/1403035.html,
创客加速,3006882,,,7,https://data.cyzone.cn/capital/3006882.html,
金永信投资,3014956,,,7,https://data.cyzone.cn/capital/3014956.html,
大众交通股份有限公司,1394777,,,7,https://data.cyzone.cn/capital/1394777.html,
天使翼创投,1404676,,,7,https://data.cyzone.cn/capital/1404676.html,
金骏投资,3014813,,,7,https://data.cyzone.cn/capital/3014813.html,
中城投资,1397960,,,7,https://data.cyzone.cn/capital/1397960.html,
天佑投资,1508701,,,7,https://data.cyzone.cn/capital/1508701.html,
金沙江资本,3014889,,,7,https://data.cyzone.cn/capital/3014889.html,
奥瑞金,3233560,,,7,https://data.cyzone.cn/capital/3233560.html,
灏源资本,1399821,,,7,https://data.cyzone.cn/capital/1399821.html,
风和投资管理,1394593,,,7,https://data.cyzone.cn/capital/1394593.html,
瑞东资本,3018299,,,7,https://data.cyzone.cn/capital/3018299.html,
安泰科技,3533144,,,7,https://data.cyzone.cn/capital/3533144.html,
浙银钜鑫,1398293,,,7,https://data.cyzone.cn/capital/1398293.html,
JadeValue,1400114,,,7,https://data.cyzone.cn/capital/1400114.html,
华迪投资,3013279,,,7,https://data.cyzone.cn/capital/3013279.html,
珠海高新投,1404244,,,7,https://data.cyzone.cn/capital/1404244.html,
珠海科创投,1403728,,,7,https://data.cyzone.cn/capital/1403728.html,
浦东科投,3536611,,,7,https://data.cyzone.cn/capital/3536611.html,
云赛智联,3293743,,,7,https://data.cyzone.cn/capital/3293743.html,
新松投资,3536774,,,7,https://data.cyzone.cn/capital/3536774.html,
新毅控股,3536781,,,7,https://data.cyzone.cn/capital/3536781.html,
先文基金,3020692,,,7,https://data.cyzone.cn/capital/3020692.html,
阿里投资,1393644,,,7,https://data.cyzone.cn/capital/1393644.html,
将门创投,1395578,,,7,https://data.cyzone.cn/capital/1395578.html,
六翼投资,1395400,,,7,https://data.cyzone.cn/capital/1395400.html,
新华都,1180928,,,7,https://data.cyzone.cn/capital/1180928.html,
新疆科技成果转化引导基金,3021255,,,7,https://data.cyzone.cn/capital/3021255.html,
鞍钢集团,3536044,,,7,https://data.cyzone.cn/capital/3536044.html,
光华资本,3306365,,,7,https://data.cyzone.cn/capital/3306365.html,
青檬资本,1402458,,,7,https://data.cyzone.cn/capital/1402458.html,
科地资本,1398450,,,7,https://data.cyzone.cn/capital/1398450.html,
青岛金王,3228181,,,7,https://data.cyzone.cn/capital/3228181.html,
掌阅科技,1148547,,,7,https://data.cyzone.cn/capital/1148547.html,
亨通集团,3012646,,,7,https://data.cyzone.cn/capital/3012646.html,
光一文投,1401076,,,7,https://data.cyzone.cn/capital/1401076.html,
宏商资本,1401126,,,7,https://data.cyzone.cn/capital/1401126.html,
宝通科技,3254517,,,7,https://data.cyzone.cn/capital/3254517.html,
光音网络,3219572,,,7,https://data.cyzone.cn/capital/3219572.html,
先锋投资,1401387,,,7,https://data.cyzone.cn/capital/1401387.html,
新俊逸投资,3021283,,,7,https://data.cyzone.cn/capital/3021283.html,
宏福资本,3012976,,,7,https://data.cyzone.cn/capital/3012976.html,
宏泰国投,3013014,,,7,https://data.cyzone.cn/capital/3013014.html,
苏豪投资,3336743,,,7,https://data.cyzone.cn/capital/3336743.html,
新疆金融投资,3021248,,,7,https://data.cyzone.cn/capital/3021248.html,
慧眼资本,3014087,,,7,https://data.cyzone.cn/capital/3014087.html,
慧科教育集团,1394920,,,7,https://data.cyzone.cn/capital/1394920.html,
太证资本管理有限公司,1394131,,,7,https://data.cyzone.cn/capital/1394131.html,
太火鸟,1139022,,,7,https://data.cyzone.cn/capital/1139022.html,
昆高新集团,3015944,,,7,https://data.cyzone.cn/capital/3015944.html,
太平洋保险,1395494,,,7,https://data.cyzone.cn/capital/1395494.html,
银纪资产,1403766,,,7,https://data.cyzone.cn/capital/1403766.html,
点量兴业投资,1399462,,,7,https://data.cyzone.cn/capital/1399462.html,
九派资本,3015233,,,7,https://data.cyzone.cn/capital/3015233.html,
华熙集团,1399104,,,7,https://data.cyzone.cn/capital/1399104.html,
高和资本,1404201,,,7,https://data.cyzone.cn/capital/1404201.html,
祥云医疗投资,3020780,,,7,https://data.cyzone.cn/capital/3020780.html,
凯致资本,3015761,,,7,https://data.cyzone.cn/capital/3015761.html,
火币网,1145117,,,7,https://data.cyzone.cn/capital/1145117.html,
钟鼎宝捷会消费基金,3009155,,,7,https://data.cyzone.cn/capital/3009155.html,
易坤创投,3023913,,,7,https://data.cyzone.cn/capital/3023913.html,
熔拓资本,3018194,,,7,https://data.cyzone.cn/capital/3018194.html,
承泰科技,1195304,,,7,https://data.cyzone.cn/capital/1195304.html,
LB,1394571,,,7,https://data.cyzone.cn/capital/1394571.html,
立达资本,1403007,,,7,https://data.cyzone.cn/capital/1403007.html,
云月投资,3536118,,,7,https://data.cyzone.cn/capital/3536118.html,
云晖资本,1402346,,,7,https://data.cyzone.cn/capital/1402346.html,
先农投资,3020689,,,7,https://data.cyzone.cn/capital/3020689.html,
猪八戒,3009284,,,7,https://data.cyzone.cn/capital/3009284.html,
长润金控,1402014,,,7,https://data.cyzone.cn/capital/1402014.html,
拓维信息,1394304,,,7,https://data.cyzone.cn/capital/1394304.html,
物产中大,3310747,,,7,https://data.cyzone.cn/capital/3310747.html,
中国加速Chinaccelera...,1394604,,,7,https://data.cyzone.cn/capital/1394604.html,
长春新投,3007427,,,7,https://data.cyzone.cn/capital/3007427.html,
小米产投,1516307,,,7,https://data.cyzone.cn/capital/1516307.html,
中国医药,3239351,,,7,https://data.cyzone.cn/capital/3239351.html,
长城长富,3007418,,,7,https://data.cyzone.cn/capital/3007418.html,
爱投资本,3006364,,,7,https://data.cyzone.cn/capital/3006364.html,
云九资本,1499938,,,7,https://data.cyzone.cn/capital/1499938.html,
卓尔集团,1398609,,,7,https://data.cyzone.cn/capital/1398609.html,
博硕股权投资,3006688,,,7,https://data.cyzone.cn/capital/3006688.html,
滨海基金,1398282,,,7,https://data.cyzone.cn/capital/1398282.html,
上港集团,3298927,,,7,https://data.cyzone.cn/capital/3298927.html,
南翔创投,1398431,,,7,https://data.cyzone.cn/capital/1398431.html,
中信聚信,1401188,,,7,https://data.cyzone.cn/capital/1401188.html,
北大明德基金,1404027,,,7,https://data.cyzone.cn/capital/1404027.html,
南通科技创业投资,3017142,,,7,https://data.cyzone.cn/capital/3017142.html,
启迪汇,1404160,,,7,https://data.cyzone.cn/capital/1404160.html,
建投投资,3014496,,,7,https://data.cyzone.cn/capital/3014496.html,
深圳纵联合创投资管理有限公司,1394782,,,7,https://data.cyzone.cn/capital/1394782.html,
深圳惠程,3019045,,,7,https://data.cyzone.cn/capital/3019045.html,
启纳创投,3017624,,,7,https://data.cyzone.cn/capital/3017624.html,
南昌创投,3017049,,,7,https://data.cyzone.cn/capital/3017049.html,
启源资本,1403529,,,7,https://data.cyzone.cn/capital/1403529.html,
永太科技,3297670,,,7,https://data.cyzone.cn/capital/3297670.html,
深圳市睿鼎资本管理有限公司,1395191,,,7,https://data.cyzone.cn/capital/1395191.html,
君诚资本,3015495,,,7,https://data.cyzone.cn/capital/3015495.html,
永桐资本,1400872,,,7,https://data.cyzone.cn/capital/1400872.html,
华岭资本,1401186,,,7,https://data.cyzone.cn/capital/1401186.html,
北纬通信,3006578,,,7,https://data.cyzone.cn/capital/3006578.html,
