Id,Label,timeset,Name_Chinese,Name_English,URL,indegree,number of investment events,outdegree,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
1564713,,,携程,,https://data.cyzone.cn/capital/1564713.html,5,38,3,8,5,0.350331,0.369376,6.13861
1393495,,,赛马资本,,https://data.cyzone.cn/capital/1393495.html,2,38,4,6,5,0.34107,0.357561,46.638627
1401620,,,海丰至诚,,https://data.cyzone.cn/capital/1401620.html,4,38,3,7,5,0.349868,0.368336,18.600312
3014888,,,金沙江联合资本,,https://data.cyzone.cn/capital/3014888.html,16,38,7,23,4,0.415881,0.447543,305.570855
3005682,,,58同城,,https://data.cyzone.cn/capital/3005682.html,10,38,9,19,4,0.414902,0.443604,21.885382
1393297,,,优势资本,,https://data.cyzone.cn/capital/1393297.html,3,38,18,21,4,0.425583,0.453844,770.064302
1395704,,,前海母基金,,https://data.cyzone.cn/capital/1395704.html,13,38,25,38,4,0.4401,0.477001,712.151014
1393326,,,祥峰投资,,https://data.cyzone.cn/capital/1393326.html,25,38,15,40,4,0.452524,0.488658,426.024239
1131889,,,紫光集团,,https://data.cyzone.cn/capital/1131889.html,3,37,5,8,5,0.342839,0.359263,43.541587
3010876,,,富坤创投,,https://data.cyzone.cn/capital/3010876.html,5,37,10,15,5,0.404434,0.42949,61.511256
1393524,,,小村资本,,https://data.cyzone.cn/capital/1393524.html,8,37,6,14,4,0.38783,0.413516,101.033741
1192027,,,天风证券,,https://data.cyzone.cn/capital/1192027.html,12,37,17,29,4,0.388685,0.42155,283.016754
1394681,,,道生投资,,https://data.cyzone.cn/capital/1394681.html,7,37,11,18,4,0.400151,0.429269,115.142141
3006424,,,奥飞娱乐,,https://data.cyzone.cn/capital/3006424.html,8,37,7,15,4,0.404434,0.430529,140.168075
3008187,,,中国宝武,,https://data.cyzone.cn/capital/3008187.html,4,37,4,8,5,0.3363,0.35252,61.033993
1400711,,,国信弘盛,,https://data.cyzone.cn/capital/1400711.html,10,37,9,19,4,0.399547,0.427379,188.326301
3020910,,,孝昌水木投资,,https://data.cyzone.cn/capital/3020910.html,11,37,5,16,5,0.376245,0.403182,129.784643
3006160,,,凯鹏华盈,,https://data.cyzone.cn/capital/3006160.html,12,37,16,28,4,0.430782,0.462508,110.075087
1394897,,,海航资本,,https://data.cyzone.cn/capital/1394897.html,4,36,4,8,5,0.377049,0.396723,1.831022
1393561,,,华瓯创投,,https://data.cyzone.cn/capital/1393561.html,9,36,8,17,4,0.40167,0.429584,123.290458
1393509,,,长江国弘投资,,https://data.cyzone.cn/capital/1393509.html,5,36,4,9,4,0.374911,0.39666,141.384486
3240091,,,中信资本,,https://data.cyzone.cn/capital/3240091.html,13,36,12,25,5,0.42185,0.453907,299.473902
1396488,,,君盛投资,,https://data.cyzone.cn/capital/1396488.html,5,36,13,18,5,0.422862,0.450756,215.221598
1402050,,,华兴创投,,https://data.cyzone.cn/capital/1402050.html,2,36,7,9,5,0.369156,0.389477,33.065978
1399155,,,劲邦资本,,https://data.cyzone.cn/capital/1399155.html,1,36,5,6,5,0.327149,0.341336,91.298751
1393543,,,纽信创投,,https://data.cyzone.cn/capital/1393543.html,6,36,8,14,4,0.394188,0.42155,58.440554
1394848,,,星火金融,,https://data.cyzone.cn/capital/1394848.html,5,36,1,6,5,0.316766,0.330655,18.456402
1395552,,,浩方创投,,https://data.cyzone.cn/capital/1395552.html,7,36,11,18,5,0.388685,0.41673,243.358619
3536166,,,中国航天科工,,https://data.cyzone.cn/capital/3536166.html,4,36,6,10,5,0.377587,0.400662,37.778112
1136387,,,天使汇,,https://data.cyzone.cn/capital/1136387.html,11,35,15,26,4,0.402894,0.434783,561.473655
