event_id,investee_id,investee_shortname,investee_fullname,investee_url,investor_number,investor_ids,investor_leader_id,investor_names,investor_urls,series,amount,date,industries,page_number
2015111131345021404147,3134502,圣博润,北京圣博润高新技术股份有限公司,https://data.cyzone.cn/company/3134502.html,2,"1404147,1192027",1404147,"川江投资,天风证券","https://data.cyzone.cn/capital/1404147.html,https://data.cyzone.cn/capital/1192027.html",新三板定增,1.2亿人民币,2015-11-11,"企业服务,传统企业服务,IT服务",245
2015111131431641393332,3143164,先地图像,深圳市先地图像科技有限公司,https://data.cyzone.cn/company/3143164.html,1,1393332,1393332,德迅投资,https://data.cyzone.cn/capital/1393332.html,天使轮,未披露,2015-11-11,"传统行业,制造业,印刷",245
2015111113200111393234,1320011,易尊通信,广州易尊网络科技股份有限公司,https://data.cyzone.cn/company/1320011.html,1,1393234,1393234,达晨创投,https://data.cyzone.cn/capital/1393234.html,A轮,千万美元,2015-11-11,"咨询服务,传统企业服务,企业服务",245
2015111113298219999999,1329821,小斑科技,北京小斑科技有限公司,https://data.cyzone.cn/company/1329821.html,0,9999999,9999999,未透露,unknown,战略投资,1000万人民币,2015-11-11,医疗健康,246
2015111113306551395395,1330655,女王陛下花草茶,安徽一杯茶电子商务有限公司,https://data.cyzone.cn/company/1330655.html,1,1395395,1395395,娱乐工场,https://data.cyzone.cn/capital/1395395.html,Pre-A,数百万人民币,2015-11-11,电子商务,246
2015111113181013536635,1318101,众车帮,上海驿保网络科技有限公司,https://data.cyzone.cn/company/1318101.html,1,3536635,3536635,仁和智本,https://data.cyzone.cn/capital/3536635.html,天使轮,800万人民币,2015-11-11,"养护维修,汽车后市场,汽车交通",246
2015111113031049999999,1303104,购酒网,上海购酒网电子商务有限公司,https://data.cyzone.cn/company/1303104.html,0,9999999,9999999,未透露,unknown,并购,未披露,2015-11-11,"酒饮品牌,食,消费",246
2015111113259321393334,1325932,一点资讯,北京一点网聚科技有限公司,https://data.cyzone.cn/company/1325932.html,2,"1393334,1564729",1393334,"顺为资本,小米科技","https://data.cyzone.cn/capital/1393334.html,https://data.cyzone.cn/capital/1564729.html",C轮,数千万美元,2015-11-11,"文化娱乐,媒体,资讯媒体",246
2015111113290499999999,1329049,一猫汽车网,北京一猫汽车科技有限公司,https://data.cyzone.cn/company/1329049.html,0,9999999,9999999,未透露,unknown,A轮,1亿人民币,2015-11-11,"新车销售,汽车交易,汽车交通",246
2015111113239821393347,1323982,好车无忧,北京好车无忧信息技术有限公司,https://data.cyzone.cn/company/1323982.html,3,"1393347,1394795,1393268",1393347,"源码资本,北京凤凰祥瑞互联投资基金（有限合...,经纬中国","https://data.cyzone.cn/capital/1393347.html,https://data.cyzone.cn/capital/1394795.html,https://data.cyzone.cn/capital/1393268.html",B轮,5000万美元,2015-11-11,"二手车交易,汽车交易,汽车交通",246
2015111113029781398231,1302978,11点11分,杭州友谦网络科技有限公司,https://data.cyzone.cn/company/1302978.html,3,"1398231,1393719,3536569",1398231,"盛景嘉成,华旦天使投资,立元创投","https://data.cyzone.cn/capital/1398231.html,https://data.cyzone.cn/capital/1393719.html,https://data.cyzone.cn/capital/3536569.html",Pre-A,数千万人民币,2015-11-11,"移动互联网,社区社交",246
2015111113272211399369,1327221,InNail美甲,北京悦风景文化休闲有限公司,https://data.cyzone.cn/company/1327221.html,2,"1399369,1394901",1399369,"艾瑞资本,明嘉资本","https://data.cyzone.cn/capital/1399369.html,https://data.cyzone.cn/capital/1394901.html",Pre-A,数千万人民币,2015-11-11,"美业,生活服务",246
2015111113303191393222,1330319,星童医疗,星童医疗技术（上海）有限公司,https://data.cyzone.cn/company/1330319.html,2,"1393222,1166539",1393222,"启明创投,君联资本","https://data.cyzone.cn/capital/1393222.html,https://data.cyzone.cn/capital/1166539.html",B轮,未披露,2015-11-11,"精准医疗,医疗信息化,医疗健康",246
2015111130179809999999,3017980,智通人才,广东智通人才连锁股份有限公司,https://data.cyzone.cn/company/3017980.html,0,9999999,9999999,未透露,unknown,新三板定增,1741.95万人民币,2015-11-11,"人力资源,传统企业服务,企业服务",247
2015111112718199999999,1271819,欣智恒,北京欣智恒科技股份有限公司,https://data.cyzone.cn/company/1271819.html,0,9999999,9999999,未透露,unknown,新三板定增,1800万人民币,2015-11-11,"智能制造,智能制造装备,仪器设备",247
2015111130072553021708,3007255,英纽林生物,武汉英纽林生物科技有限公司,https://data.cyzone.cn/company/3007255.html,1,3021708,3021708,星普资产,https://data.cyzone.cn/capital/3021708.html,A轮,未披露,2015-11-11,"医疗健康,健康保健,保健品",247
2015111113102823024019,1310282,希奥,上海希奥信息科技股份有限公司,https://data.cyzone.cn/company/1310282.html,2,"3024019,3014876",3024019,"英劳股权投资,金睿和投资","https://data.cyzone.cn/capital/3024019.html,https://data.cyzone.cn/capital/3014876.html",新三板定增,2410万人民币,2015-11-11,"企业服务,传统企业服务,客户服务",245
2015111130430841395975,3043084,乐人游戏,广州悦人网络科技有限公司,https://data.cyzone.cn/company/3043084.html,2,"1395975,3536333",1395975,"创享投资,国金投资","https://data.cyzone.cn/capital/1395975.html,https://data.cyzone.cn/capital/3536333.html",A轮,数千万人民币,2015-11-11,"文化娱乐,游戏电竞,手游研发",246
2015111113268051393246,1326805,环球漫游,北京环球友邻科技有限公司,https://data.cyzone.cn/company/1326805.html,2,"1393246,1400678",1393246,"思伟投资,NEA恩颐投资","https://data.cyzone.cn/capital/1393246.html,https://data.cyzone.cn/capital/1400678.html",A+轮,千万级美元,2015-11-11,"境外游,旅游服务,旅游",245
2015111113246831393268,1324683,益体康ETComm,益体康（北京）科技有限公司,https://data.cyzone.cn/company/1324683.html,1,1393268,1393268,经纬中国,https://data.cyzone.cn/capital/1393268.html,A轮,3000万人民币,2015-11-11,"医疗健康,医疗信息化,移动医疗",245
2015111132544381395272,3254438,华启智能,苏州华启智能科技有限公司,https://data.cyzone.cn/company/3254438.html,1,1395272,1395272,东方网力,https://data.cyzone.cn/capital/1395272.html,战略投资,未披露,2015-11-11,"人工智能,场景应用层,AI交通",244
2015111113176799999999,1317679,安沃传媒,北京掌阔移动传媒科技有限公司,https://data.cyzone.cn/company/1317679.html,0,9999999,9999999,未透露,unknown,D轮,未披露,2015-11-11,"企业服务,推广营销,广告营销",245
